statefp,countyfp,parcels,area_m2,area_parcels,government_parcels,ownertype_known
05,065,30272,1496746262.7,30272,201,30272
05,067,14108,1696134757.9,14108,258,14108
05,069,54564,2317978835.5,54564,1102,54564
05,071,17920,1705726934.6,17920,650,17919
05,073,11210,1314410146.5,11210,188,11210
05,075,9662,1463572332.4,9662,112,9662
05,077,10118,1313273049.3,10118,164,10117
05,079,10160,1394360508.3,10160,117,10160
05,081,14537,1444402353.8,14537,455,14537
05,083,20083,1774408926.6,20083,795,20083
05,085,37702,1896743310.6,37702,372,37702
05,087,20799,2213653488.5,20799,550,20799
05,089,13411,1617847895.5,13411,911,13411
05,091,27097,1654452417.6,27097,487,27097
05,093,30840,2276732588.5,30840,834,30840
05,095,8785,1554204545.1,8785,495,8785
05,097,11214,2025870498.7,11214,1875,11214
05,099,12094,1487195054.0,12094,197,12094
05,101,9946,2587347157.6,9946,2068,9945
05,103,16561,1750129844.2,16561,359,16560
05,105,10335,1411280825.4,10335,966,10335
05,107,19421,1765627200.4,19421,509,19421
05,109,11451,1607398444.8,11451,370,11451
05,111,17942,1743981538.9,17942,418,17942
05,113,19212,2271754478.7,19212,1072,19212
05,115,32491,2041461238.6,32491,556,32491
05,117,10136,1753636392.5,10136,533,10136
05,119,180262,1852788579.3,180262,2354,180262
05,121,17973,1622938821.9,17973,230,17973
05,123,17934,1462972914.0,17934,349,17934
05,125,79858,1864349049.8,79858,1084,79858
05,127,10812,2333321578.3,10812,1492,10812
05,129,11756,1673064398.0,11756,283,11756
05,131,60190,1406819024.1,60190,973,60190
05,133,11545,1397709218.1,11545,219,11545
05,135,46399,1580087357.9,46399,573,46399
05,137,15339,1528040814.5,15339,1104,15339
05,139,31532,2661922739.9,31532,365,31532
05,141,32088,1778495384.3,32088,291,32088
05,143,113399,2415896794.7,113399,3053,113399
05,145,49491,2659687523.7,49491,736,49490
05,147,9230,1522985214.8,9230,693,9230
05,149,19462,2333832803.6,19462,1546,19462
06,001,489651,2608776431.7,489651,0,0
06,003,2938,355783765.4,2938,18,97
06,005,24381,1571296997.1,24381,109,14266
06,007,96164,4186241630.7,96164,1132,95979
06,009,43351,2679469394.0,43351,452,41602
06,011,15062,2954019315.3,15062,0,0
06,013,407366,2224830847.7,407366,7733,382133
06,015,15557,2517625347.1,15557,387,15555
06,017,120305,4615891215.8,120305,9034,115811
06,019,315532,12906080026.3,315532,14,224
06,021,14592,3068308634.5,14592,807,14206
06,023,72359,9221205422.6,72359,8191,72358
06,025,89462,10593144623.1,89462,3640,88073
06,027,15939,24858649820.3,15939,14,19
06,029,423679,20924229533.6,423679,910,420385
06,031,52401,3515711301.4,52401,233,51620
06,033,63857,3255898593.6,63857,1315,21579
06,035,33453,9799479307.8,33453,8454,31642
06,037,2547504,13758954867.6,2547504,32178,2191506
06,039,67978,4745539790.3,67978,0,38265
06,041,96227,1453776033.4,96227,2674,96227
06,043,14313,3609090276.1,14313,451,11842
06,045,62049,9097094359.4,62049,0,0
06,047,91143,4987783501.9,91143,0,0
06,049,36569,9020873554.9,36569,6303,33497
06,051,20475,8101405202.0,20475,211,18555
06,053,123270,8478833373.0,123270,2957,122138
06,055,50174,1914393736.8,50174,1173,49686
06,057,64504,2469237907.0,64504,8,63515
06,059,987581,8821648669.2,987581,353,21177
06,061,248700,3684681894.7,248700,127,48527
06,063,25998,6142509614.3,25998,48,87
06,065,989066,18872209138.9,989066,25262,975937
06,067,554920,4140865528.3,554920,1416,553516
06,069,25433,3539396151.7,25433,712,24473
06,071,855022,51699891577.0,855022,29981,839533
06,073,1089494,30268507589.5,1089494,15238,950041
06,075,234962,362320501.8,234962,2627,154707
06,077,252571,3488662867.4,252571,2766,251953
06,079,132454,8323996400.5,132454,13,1489
06,081,257141,1841465522.0,257141,3679,239600
06,083,133249,6518016379.9,133249,3155,130757
06,085,495200,3192990080.7,495200,0,0
06,087,96872,1114137127.8,96872,2390,94624
06,089,103070,9996199806.9,103070,8288,94773
06,091,4964,2492962613.4,4964,1247,4962
06,093,54279,16123869299.3,54279,15,209
06,095,152799,2137836216.0,152799,685,150698
06,097,189234,3978138276.6,189234,581,186452
06,099,168188,3740951706.0,168188,2453,166688
06,101,36136,1513172161.4,36136,0,1
06,103,40043,7555329006.7,40043,0,0
06,105,16641,8310035271.9,16641,155,12359
06,107,173593,12393967918.2,173593,37,2791
06,109,43190,5892079350.2,43190,353,1278
06,111,307672,5098356381.0,307672,5458,291781
06,113,67391,2607209634.1,67391,1701,66658
06,115,37369,1700538798.5,37369,2,54
08,001,188473,2967996674.7,188473,3178,188001
08,003,14601,1644295300.2,14601,13,13616
08,005,232434,1993235945.4,232434,1895,199342
08,007,17874,1701355705.6,17874,341,17142
08,009,1720,4239023256.2,1720,265,278
08,011,6084,8300281654.8,6084,375,4192
08,013,131267,1789543175.1,131267,4727,130422
08,014,27476,72677210.9,27476,957,27422
08,015,16982,567916760.3,16982,647,16957
08,017,4784,4597327960.5,4784,205,3958
08,019,24105,530440937.5,24105,4379,24104
08,021,8958,1539827995.1,8958,222,8919
08,023,64625,2321161601.1,64625,2672,64605
08,025,3574,1846959407.5,3574,196,3094
08,027,9477,1312204929.6,9477,285,9470
08,029,18963,2624381013.6,18963,992,18961
08,031,238657,2372084731.6,238657,4398,236690
08,033,4492,2013385268.7,4492,336,4307
08,035,158335,1707498821.2,158335,6258,157751
08,037,39402,5221830462.0,39402,1609,38638
08,039,17657,4547945719.0,17657,320,17485
08,041,277031,4705417417.2,277031,718,34601
08,043,23346,3159622480.0,23346,521,22723
08,045,28660,4218701443.8,28660,770,25692
08,047,8172,273148065.8,8172,58,273
08,049,27695,2558854116.5,27695,1041,27275
08,051,20317,3784230240.8,20317,722,20187
08,053,2654,199547658.0,2654,95,2598
08,055,18091,3878565280.9,18091,480,13761
08,057,2742,2240305100.8,2742,142,2593
08,059,260726,1778786285.9,260726,3027,232228
08,061,2837,4010872649.5,2837,105,2602
08,063,9450,5476571960.1,9450,231,9427
08,065,9882,367331214.3,9882,762,9881
08,067,35865,3007521588.9,35865,1036,35013
08,069,175268,6632428268.1,175268,5433,173688
08,071,17694,10200263408.5,17694,472,16858
08,073,4243,9312632113.3,4243,342,2266
08,075,12124,4613378049.9,12124,446,11359
08,077,78521,4725644030.0,78521,1458,77538
08,079,2089,157109135.9,2089,59,2062
08,081,10405,5011006780.0,10405,865,10112
08,083,17905,6992037258.0,17905,357,15396
08,085,29060,5809121802.1,29060,502,24611
08,087,15954,3351247180.9,15954,605,15948
08,089,13420,3251611959.1,13420,590,13058
08,091,7461,811971501.1,7461,1011,7432
08,093,42991,3403311500.7,42991,1123,42707
08,095,4483,1795381842.4,4483,126,4376
08,097,16918,411814288.2,16918,714,16469
08,099,9909,4169638938.4,9909,31,9118
08,101,101072,5803844650.9,101072,2696,100893
08,103,5106,2378594073.1,5106,211,5106
08,105,13160,1575869597.6,13160,465,13038
08,107,25365,3982770622.4,25365,756,25328
08,109,15867,3137527446.4,15867,1433,15867
08,111,4763,278086143.4,4763,590,4672
08,113,10992,2173710932.7,10992,802,10461
08,115,3158,1402437478.6,3158,186,3148
08,117,38082,570631684.9,38082,1085,37992
08,119,31534,1458270942.6,31534,798,28713
08,121,6464,6196042043.5,6464,190,5993
08,123,249162,17162517752.1,249162,3977,233392
08,125,11856,6174062120.6,11856,553,11822
09,110,363243,3389892659.4,363243,10407,344990
09,120,99872,901187909.3,99872,2270,99507
09,130,91864,1572959114.1,91864,2072,89277
09,140,165962,1107690682.7,165962,4386,162783
09,150,47300,1403824350.5,47300,1438,45244
09,160,71235,2456149514.8,71235,2337,69379
09,170,191979,1053585464.2,191979,4836,189299
09,180,124231,1804153533.2,124231,3767,121304
09,190,179676,1322965427.7,179676,4005,170980
10,001,81229,1475988524.5,81229,0,0
10,003,198154,998161539.9,198154,2757,197763
10,005,205369,2365704265.5,163367,1795,162880
11,001,235074,93943214.5,161315,4516,127232
12,001,135646,2975543052.3,135646,2310,134492
12,003,13236,1515834138.1,13236,325,8909
12,005,122140,1880142313.3,122140,1789,121620
12,007,15332,743524053.5,15332,126,15296
12,009,352312,3263411376.7,352312,8319,352024
12,011,775912,7961575251.8,775912,23527,755360
12,013,12199,1476963096.5,12199,152,11622
12,015,224611,1583328656.6,224611,2878,223820
12,017,147055,1385146380.5,147055,3341,147055
12,019,105752,1556092569.9,105752,856,105260
12,021,296626,8424144747.1,296626,15386,296626
12,023,37705,2021619173.5,37705,780,37684
12,027,20090,1633356935.6,20090,501,19981
12,029,16380,1830424561.8,16380,258,16338
12,031,405722,1822364667.9,405722,5264,405718
12,033,163062,1804671938.5,163062,2002,162854
12,035,89645,1245155533.8,89645,1562,89640
12,037,18205,1356793300.8,18205,714,18055
12,039,27621,1319419328.0,27621,573,27367
12,041,14606,896892922.4,14606,207,14479
12,043,11384,2011258992.6,11384,434,11341
12,045,19222,1402447158.8,19222,225,19152
12,047,13296,1347804750.4,13296,599,12807
12,049,14858,1625652624.0,14858,169,14790
12,051,35815,2970571201.1,35815,525,35749
12,053,115585,1311542014.3,115585,998,115585
12,055,114145,2435610894.9,114145,6545,113656
12,057,531456,3191019242.0,531456,10567,507261
12,059,14564,1225092410.5,14564,251,14506
12,061,82803,1248582764.8,82803,754,82787
12,063,40101,2371725722.7,40101,505,39961
12,065,12467,1578138221.1,12467,0,0
12,067,7196,1404015750.1,7196,377,7135
12,069,214147,2820031335.2,214147,3204,209678
12,071,563253,2033693522.6,563253,6790,563234
12,073,113113,1606159820.9,113113,1922,113113
12,075,48223,2889126110.6,48223,598,48182
12,077,6380,2161519560.7,6380,664,6324
12,079,16621,1813611362.4,16621,174,16621
12,081,228229,2795663205.5,228229,2360,227932
12,083,289006,3784359929.3,289006,3191,289001
12,085,96783,2581468733.2,96783,2751,96779
12,086,918996,10486246089.3,918996,22386,913104
12,087,105447,2450825238.3,105447,23572,104972
12,089,66899,1972139884.4,66899,932,66645
12,091,113948,2586431087.9,113948,1754,113942
12,093,31948,1975102811.3,31948,338,31944
12,095,584345,3763779557.9,584345,6946,584345
12,097,215336,3685419776.0,215336,2438,192829
12,099,694545,19693652593.8,694545,5824,691371
12,101,314128,2000035974.6,314128,13265,312790
12,103,437398,5946213698.6,437398,4818,437053
12,105,430518,5039676844.1,430518,3612,428002
12,107,97870,1973881187.7,97870,1664,97415
12,109,232364,1655132844.5,232364,8087,228732
12,111,208397,2310847281.3,208397,4609,208168
12,113,117586,2698177312.9,117586,1143,113123
12,115,307440,3286819551.1,307440,1273,306249
12,117,176473,765030442.1,176473,1,11
12,119,96051,1331763272.7,96051,746,95906
12,121,31761,1733583174.0,31761,493,31634
12,123,18839,2719748469.0,18839,722,18700
12,125,6961,637858148.6,6961,151,6892
12,127,327884,4225189998.6,327884,10030,325129
12,129,27070,1560882050.4,27070,0,0
12,131,96450,2381326237.3,96450,1131,95981
12,133,44083,1604812891.9,44083,519,43907
13,001,13060,1484174495.4,13060,107,12672
13,003,5443,895245588.4,5443,60,5395
13,005,6713,821750348.0,6713,36,6614
13,007,2602,672255236.4,2602,18,2551
13,009,21757,676536229.3,21757,127,21747
13,011,11113,590275679.0,11113,60,11036
13,013,31613,350267170.3,31613,266,31299
13,015,51610,1056393464.7,51610,745,50936
13,017,10732,568595578.1,10732,218,10675
13,019,10548,1139308137.8,10548,100,10501
13,021,70065,603641431.6,70065,211,69839
13,023,7321,555173544.8,7321,65,7267
13,025,13252,925774106.0,13252,678,13111
13,027,9902,1236734115.3,9902,132,9889
13,029,22551,558495931.2,22551,234,22073
13,031,36022,1721006541.1,36022,114,35818
13,033,17431,2118407286.9,17431,213,17308
13,035,13373,456891579.3,13373,132,13354
13,037,3380,717646174.9,3380,76,3376
13,039,33394,1677207593.3,33394,247,31255
13,043,7021,631490592.6,7021,78,6937
13,045,55409,1243053231.3,55409,182,54931
13,047,29756,428729493.3,29756,569,29667
13,049,7418,1895290063.4,7418,34,7288
13,051,127448,938123571.3,127448,999,127144
13,053,1832,187778665.7,1832,4,1798
13,055,14730,804163106.2,14730,247,14099
13,057,115539,994780860.5,115539,290,115353
13,059,42767,289444972.0,42767,309,42651
13,061,3007,489563589.0,3007,40,2960
13,063,90752,326607059.8,90752,929,90740
13,065,4428,2105668187.6,4428,51,4365
13,067,305264,1770782023.3,305264,2565,289197
13,069,21458,1505990005.6,21458,231,21241
13,071,23717,1549845769.9,23717,17,238
13,073,67780,665379284.3,67780,225,67346
13,075,10627,668024222.7,10627,151,10510
13,077,64698,1200290261.4,64698,387,64231
13,079,8289,897985677.5,8289,26,5921
13,081,12361,686811150.5,12361,254,12325
13,083,10447,437134586.4,10447,64,10270
13,085,19603,485122594.9,19603,0,0
13,087,19118,1504327398.3,19118,392,18936
13,089,235819,582618518.1,235819,2234,232313
13,091,12674,1355785756.8,12674,105,12341
13,093,7404,1046089880.8,7404,132,7359
13,095,39443,783739970.4,39443,1331,38989
13,097,56601,519049188.5,56601,309,55939
13,099,8838,1345503789.2,8838,128,8771
13,101,2172,941562629.9,2172,1,2156
13,103,34173,1326594607.8,34173,205,33522
13,105,14565,1213495750.4,14565,174,14488
13,107,15303,1841559281.5,15303,238,15243
13,109,6654,400708510.4,6654,106,6631
13,111,25137,1655028277.0,25137,474,24596
13,113,49048,481856525.9,49048,206,47553
13,115,50817,1292805719.0,50817,710,50429
13,117,104619,594203981.2,104619,0,0
13,119,17204,725958028.7,17204,162,16803
13,121,371926,1557430170.3,371926,5492,371897
13,123,35843,1215615863.6,35843,183,35367
13,125,2462,412891486.2,2462,21,2453
13,127,51862,1221957256.5,51862,1221,49371
