sample,code,minutes_per_day
CA2005,5,9.2953
CA2005,6,52.7176
CA2005,7,208.5969
CA2005,8,24.6296
CA2005,9,0.8993
CA2005,10,0.4903
CA2005,11,1.2276
CA2005,12,3.2387
CA2005,13,2.6604
CA2005,14,1.1161
CA2005,15,10.4921
CA2005,16,10.3602
CA2005,17,2.1311
CA2005,18,32.7437
CA2005,19,6.7473
CA2005,20,29.9617
CA2005,21,11.0301
CA2005,22,13.7498
CA2005,23,7.7679
CA2005,24,25.8540
CA2005,25,2.2882
CA2005,26,2.9269
CA2005,27,3.4406
CA2005,28,13.9674
CA2005,29,2.2074
CA2005,30,7.5192
CA2005,31,3.0057
CA2005,32,2.6989
CA2005,33,12.3295
CA2005,34,4.0603
CA2005,36,2.7550
CA2005,37,2.8367
CA2005,38,2.1781
CA2005,39,13.3417
CA2005,40,5.3625
CA2005,42,14.0957
CA2005,43,7.5113
CA2005,44,1.0832
CA2005,45,2.4381
CA2005,46,12.3864
CA2005,48,57.5949
CA2005,49,10.0392
CA2005,50,2.5612
CA2005,51,0.6489
CA2005,52,3.7099
CA2005,53,0.8224
CA2005,54,2.3425
CA2005,55,16.2673
CA2005,56,19.1727
CA2005,57,0.8528
CA2005,58,0.8595
CA2005,59,115.4241
CA2005,60,4.7012
CA2005,61,14.7095
CA2005,63,25.1754
CA2005,64,2.5797
CA2005,65,2.2165
CA2005,66,5.3827
CA2005,67,20.7174
CA2005,68,18.4849
CA2005,69,0.0342
FR1966,2,520.3267
FR1966,4,54.2312
FR1966,5,3.8339
FR1966,6,96.1749
FR1966,7,233.0814
FR1966,8,15.7685
FR1966,9,3.8313
FR1966,11,4.5875
FR1966,12,2.5753
FR1966,13,6.1305
FR1966,15,7.1431
FR1966,16,5.7683
FR1966,17,4.2708
FR1966,18,44.9197
FR1966,19,32.7226
FR1966,20,36.7539
FR1966,21,27.5361
FR1966,22,12.8504
FR1966,23,6.7577
FR1966,24,22.1831
FR1966,25,2.3444
FR1966,26,2.9548
FR1966,28,27.0463
FR1966,29,3.3774
FR1966,30,3.6721
FR1966,31,0.2388
FR1966,32,2.9074
FR1966,33,3.0799
FR1966,34,3.3768
FR1966,35,0.1368
FR1966,36,0.4653
FR1966,37,2.9929
FR1966,38,2.5562
FR1966,39,6.2109
FR1966,40,8.5828
FR1966,42,1.6626
FR1966,43,9.3341
FR1966,46,10.6394
FR1966,48,16.8976
FR1966,49,15.5089
FR1966,50,2.7944
FR1966,51,0.9746
FR1966,52,0.6825
FR1966,53,4.3036
FR1966,54,16.1949
FR1966,55,12.2257
FR1966,56,24.2957
FR1966,57,0.8021
FR1966,58,5.3074
FR1966,59,53.0604
FR1966,63,23.3929
FR1966,64,1.3729
FR1966,65,1.5162
FR1966,66,2.9221
FR1966,67,12.4777
FR1966,68,12.2436
FR1966,69,0.0013
FR2009,1,0.1727
FR2009,2,497.6491
FR2009,3,0.0060
FR2009,4,50.9935
FR2009,5,7.2139
FR2009,6,115.9485
FR2009,7,162.1046
FR2009,8,18.9532
FR2009,11,0.3231
FR2009,13,3.0309
FR2009,15,5.8640
FR2009,16,2.8761
FR2009,17,1.8091
FR2009,18,40.2642
FR2009,19,11.2987
FR2009,20,33.5815
FR2009,21,12.0605
FR2009,22,16.4846
FR2009,23,13.7810
FR2009,24,22.2974
FR2009,25,3.1126
FR2009,26,1.5530
FR2009,27,2.0533
FR2009,28,17.6584
FR2009,29,1.9956
FR2009,30,5.3686
FR2009,31,1.4345
FR2009,32,4.4225
FR2009,33,8.0078
FR2009,34,2.5198
FR2009,35,1.2118
FR2009,36,0.6706
FR2009,37,3.5218
FR2009,38,0.5652
FR2009,39,8.8762
FR2009,40,1.5228
FR2009,42,11.3339
FR2009,43,13.3509
FR2009,46,14.4447
FR2009,47,3.0824
FR2009,48,36.3128
FR2009,49,4.5009
FR2009,50,5.0396
FR2009,51,0.7974
FR2009,52,3.4368
FR2009,53,0.1441
FR2009,54,1.7187
FR2009,55,25.1105
FR2009,56,17.4354
FR2009,58,1.7984
FR2009,59,113.4194
FR2009,60,3.7876
FR2009,61,20.7196
FR2009,63,24.3114
FR2009,64,0.8565
FR2009,66,8.3972
FR2009,67,8.3585
FR2009,68,39.8696
FR2009,69,0.5668
KR1999,2,462.6412
KR1999,4,51.1056
KR1999,6,94.5555
KR1999,7,233.4220
KR1999,8,1.9382
KR1999,9,24.7308
KR1999,11,10.9404
KR1999,12,2.5653
KR1999,13,5.4738
KR1999,14,0.9374
KR1999,15,16.2548
KR1999,16,10.5598
KR1999,17,11.1128
KR1999,18,36.8132
KR1999,19,15.3492
KR1999,20,21.5428
KR1999,21,13.4881
KR1999,22,1.9386
KR1999,23,3.0115
KR1999,24,11.2307
KR1999,25,3.2568
KR1999,26,1.3661
KR1999,28,12.4365
KR1999,29,2.1543
KR1999,30,8.9508
KR1999,31,1.8542
KR1999,32,4.2135
KR1999,33,11.9111
KR1999,34,10.1046
KR1999,36,0.2005
KR1999,37,0.9907
KR1999,38,0.4405
KR1999,39,8.2483
KR1999,40,2.7878
KR1999,42,8.8636
KR1999,43,9.1017
KR1999,45,0.8846
KR1999,46,2.6979
KR1999,48,43.5146
KR1999,49,7.7064
KR1999,50,4.1918
KR1999,51,0.6359
KR1999,54,2.4741
KR1999,55,19.3651
KR1999,56,18.8260
KR1999,57,1.4165
KR1999,58,2.1999
KR1999,59,124.4548
KR1999,60,3.1472
KR1999,61,3.3432
KR1999,63,34.2145
KR1999,64,5.8555
KR1999,65,0.7280
KR1999,66,3.8796
KR1999,67,13.1487
KR1999,68,30.8148
KR1999,69,0.0084
KR2004,2,464.4145
KR2004,4,64.0137
KR2004,5,44.0345
KR2004,6,54.6823
KR2004,7,203.2899
KR2004,8,7.1547
KR2004,9,1.7225
KR2004,10,8.6700
KR2004,12,3.4819
KR2004,13,10.0364
KR2004,14,0.9955
KR2004,15,10.0926
KR2004,16,4.9466
KR2004,17,14.3119
KR2004,18,32.9737
KR2004,19,15.2090
KR2004,20,16.5684
KR2004,21,12.4913
KR2004,22,4.2509
KR2004,23,5.1284
KR2004,24,12.4103
KR2004,25,3.7886
KR2004,26,2.7351
KR2004,28,12.4699
KR2004,29,2.5874
KR2004,30,8.4282
KR2004,31,2.0987
KR2004,32,5.0082
KR2004,33,15.7365
KR2004,34,12.9918
KR2004,35,0.4911
KR2004,36,0.1348
KR2004,37,2.0618
KR2004,38,0.1962
KR2004,40,13.4060
KR2004,41,0.0018
KR2004,42,12.0757
KR2004,43,10.7637
KR2004,45,2.5601
KR2004,46,5.1687
KR2004,49,48.6527
KR2004,51,0.0299
KR2004,54,1.8482
KR2004,55,14.4125
KR2004,56,15.0924
KR2004,57,0.8953
KR2004,58,1.0911
KR2004,59,119.3269
KR2004,60,14.5940
KR2004,61,14.8183
KR2004,63,34.6691
KR2004,64,6.4964
KR2004,65,0.8776
KR2004,66,4.6675
KR2004,67,15.5436
KR2004,68,43.4009
KR2004,69,0.0003
KR2009,1,0.0015
KR2009,2,464.8899
KR2009,4,72.5218
KR2009,5,13.8523
KR2009,6,57.0183
KR2009,7,201.4556
KR2009,8,7.7085
