year,recipient_age,household_member,minutes_per_recipient_day,recipient_days,n_records,comparable
2012,57,0,7.437862,69399024.8,9,true
2012,57,1,6.557007,28252647.6,3,true
2012,58,0,15.324586,120291494.6,22,true
2012,58,1,28.743356,32828662.5,3,true
2012,59,0,0.000000,77211697.3,12,true
2012,59,1,132.285265,23901906.8,3,true
2012,60,0,9.205453,289802563.6,41,true
2012,60,1,50.666346,146276939.1,9,true
2012,61,0,1.037369,58885720.6,14,true
2012,61,1,34.573741,13471400.7,2,true
2012,62,0,7.257755,136563804.8,28,true
2012,62,1,67.144383,60145690.4,7,true
2012,63,0,16.455224,205216891.8,29,true
2012,63,1,113.208720,71253164.2,6,true
2012,64,0,6.186030,297522550.9,41,true
2012,64,1,52.141391,68106250.7,7,true
2012,65,0,22.112945,487697680.8,81,true
2012,65,1,48.696498,75916809.0,7,true
2012,66,0,2.522465,210426637.0,28,true
2012,66,1,5.269423,60135765.1,4,true
2012,67,0,9.085197,224715790.7,42,true
2012,67,1,80.856002,90286857.0,8,true
2012,68,0,2.678244,275135165.8,50,true
2012,68,1,28.268796,45066021.7,6,true
2012,69,0,15.152443,281543219.2,52,true
2012,69,1,83.036263,162776378.3,10,true
2012,70,0,11.260849,861895937.8,116,true
2012,70,1,123.942352,73864484.3,8,true
2012,71,0,18.329362,340158793.0,48,true
2012,71,1,61.708305,36220147.8,3,true
2012,72,0,31.204068,499168348.8,69,true
2012,72,1,134.844826,27864791.3,6,true
2012,73,0,28.960459,428792611.4,59,true
2012,73,1,263.089950,90788053.5,9,true
2012,74,0,27.539911,469028474.7,70,true
2012,74,1,71.734937,70258498.0,9,true
2012,75,0,10.559552,863727807.8,125,true
2012,75,1,77.417376,142152977.0,9,true
2012,76,0,40.583538,672345330.5,89,true
2012,76,1,18.298642,95217420.2,8,true
2012,77,0,23.705067,531083800.3,62,true
2012,77,1,117.805243,228128511.0,18,true
2012,78,0,11.958217,677889670.0,86,true
2012,78,1,337.594444,117068406.9,10,true
2012,79,0,27.945551,586247640.2,85,true
2012,79,1,340.681430,20546654.1,3,true
2012,80,0,17.679847,3771066068.9,528,true
2012,80,1,205.109324,545542105.5,41,true
2012,85,0,27.261816,5388266327.6,784,true
2012,85,1,225.152282,596673753.7,59,true
2013,19,1,1018.375911,8575006.3,1,true
2013,20,0,0.000000,4757475.1,1,true
2013,32,0,0.000000,4469643.6,1,true
2013,35,1,30.000000,4729115.4,1,true
2013,36,0,14.014347,1127237.4,1,true
2013,37,1,180.000000,6232850.5,1,true
2013,38,1,0.000000,3153865.4,1,true
2013,39,1,0.000000,10177306.6,1,true
2013,40,0,112.114779,18144065.7,1,true
2013,40,1,107.744651,14936616.1,1,true
2013,42,0,0.000000,2934682.2,1,true
2013,43,0,0.000000,936836.1,1,true
2013,43,1,105.627866,20486626.6,2,true
2013,44,0,0.000000,10318793.3,3,true
2013,44,1,1.876916,16301580.3,2,true
2013,45,0,31.761861,26451718.5,4,true
2013,46,0,0.000000,3769670.6,1,true
2013,47,0,0.000000,25617309.2,2,true
2013,48,0,63.121617,13808348.1,3,true
2013,49,0,0.000000,43395324.0,6,true
2013,49,1,131.218881,76132269.3,4,true
2013,50,0,43.771351,131191521.5,16,true
2013,50,1,0.000000,66016076.4,4,true
2013,51,0,0.000000,26918449.6,2,true
2013,51,1,0.000000,13281260.1,1,true
2013,52,0,225.703072,49474025.0,8,true
2013,52,1,1018.375911,8575006.3,1,true
2013,53,0,61.717443,50549900.2,9,true
2013,53,1,573.617603,90867874.7,4,true
2013,54,0,0.000000,102721618.8,11,true
2013,54,1,0.000000,8348845.7,2,true
2013,55,0,7.388172,102864345.0,14,true
2013,55,1,380.633177,47582020.7,4,true
2013,56,0,131.325720,101353824.5,15,true
2013,56,1,475.525404,18140532.7,2,true
2013,57,0,0.000000,56074131.7,7,true
2013,57,1,159.591609,41352060.7,4,true
2013,58,0,7.997513,148620798.5,21,true
2013,58,1,213.536459,24311793.3,2,true
2013,59,0,34.044686,96307602.8,15,true
2013,59,1,0.000000,17921675.2,2,true
2013,60,0,0.902044,356668369.0,42,true
2013,61,0,24.457301,102690117.5,13,true
2013,61,1,26.404521,85978205.2,6,true
2013,62,0,13.396119,263592641.2,41,true
2013,62,1,213.032530,43954623.0,5,true
2013,63,0,1.481224,232416588.7,30,true
2013,63,1,712.000000,9051495.8,1,true
2013,64,0,11.101423,282401568.1,32,true
2013,64,1,55.086846,79471373.0,7,true
2013,65,0,16.089894,598828884.1,68,true
2013,65,1,32.765081,26204298.8,4,true
2013,66,0,18.937064,286267643.8,39,true
2013,66,1,99.287617,132584883.1,14,true
2013,67,0,7.520763,337175939.5,42,true
2013,67,1,101.531824,48567263.3,9,true
2013,68,0,39.270121,308268428.1,50,true
2013,68,1,47.158496,145313164.6,8,true
2013,69,0,6.306154,359250211.0,43,true
2013,69,1,10.975734,38275645.1,4,true
2013,70,0,15.097091,1088946170.2,121,true
2013,70,1,5.115175,25089562.1,4,true
2013,71,0,26.557857,249877807.4,40,true
2013,71,1,190.741747,128227069.3,11,true
2013,72,0,6.343078,657109498.8,80,true
2013,72,1,149.752410,33645480.8,5,true
2013,73,0,54.224846,350816321.1,54,true
2013,73,1,46.555044,70556310.3,6,true
2013,74,0,36.763305,410108436.4,52,true
2013,74,1,93.605887,60007618.3,6,true
2013,75,0,26.143814,733551255.2,100,true
2013,75,1,71.410157,133177698.3,10,true
2013,76,0,21.990471,438235493.5,57,true
2013,76,1,197.344976,89348694.9,10,true
2013,77,0,25.273139,424722285.8,64,true
2013,77,1,45.237692,68434040.3,5,true
2013,78,0,37.719559,665701697.1,97,true
2013,78,1,167.350998,132025809.2,12,true
2013,79,0,15.592555,463821415.5,63,true
2013,79,1,340.038210,96631464.0,12,true
2013,80,0,21.894914,3996082657.0,497,true
2013,80,1,203.774824,485799091.5,43,true
2013,85,0,25.061238,5795180371.2,746,true
2013,85,1,189.073570,708856790.0,64,true
2014,22,0,0.000000,4375261.3,1,true
