year,tier2,mean_minutes_per_day
2005,0904,0.023165
2005,0905,0.338838
2005,0999,0.032356
2005,1001,0.239159
2005,1002,0.195626
2005,1003,0.083132
2005,1004,0.000553
2005,1099,0.000195
2005,1101,66.981533
2005,1102,0.167564
2005,1201,39.662602
2005,1202,5.153940
2005,1203,223.027181
2005,1204,5.553102
2005,1205,0.103549
2005,1299,0.029561
2005,1301,17.354081
2005,1302,1.947981
2005,1303,0.047079
2005,1304,0.005856
2005,1399,0.023109
2005,1401,7.526442
2005,1499,0.007324
2005,1501,2.345219
2005,1502,2.030890
2005,1503,0.378932
2005,1504,0.905871
2005,1505,1.054026
2005,1506,0.108618
2005,1599,1.653929
2005,1601,4.079250
2005,1699,2.447463
2005,1801,0.942167
2005,1802,2.570869
2005,1803,5.270945
2005,1804,4.292399
2005,1805,17.477264
2005,1806,1.786694
2005,1807,14.525863
2005,1808,2.216154
2005,1809,0.424944
2005,1810,0.171003
2005,1811,7.468425
2005,1812,12.392792
2005,1813,2.571364
2005,1814,1.250304
2005,1815,1.197845
2005,1816,0.149664
2005,1818,0.027406
2005,1899,0.812192
2005,5001,9.342544
2006,0101,517.619843
2006,0102,39.994294
2006,0103,5.522843
2006,0104,0.554244
2006,0201,36.564253
2006,0202,31.709227
2006,0203,4.855371
2006,0204,3.150894
2006,0205,11.856241
2006,0206,5.179690
2006,0207,2.881766
2006,0208,1.180467
2006,0209,11.821396
2006,0299,0.125756
2006,0301,21.723825
2006,0302,2.155908
2006,0303,0.743658
2006,0304,1.580477
2006,0305,0.723878
2006,0399,0.002536
2006,0401,4.324897
2006,0402,0.124395
2006,0403,0.051952
2006,0404,0.652060
2006,0405,3.831503
2006,0499,0.003058
2006,0501,204.061819
2006,0502,0.352082
2006,0503,1.435834
2006,0504,1.372209
2006,0599,0.003865
2006,0601,18.282971
2006,0602,0.162189
2006,0603,8.744427
2006,0604,0.082840
2006,0699,0.119063
2006,0701,24.203745
2006,0702,0.044974
2006,0703,0.000223
2006,0801,0.042616
2006,0802,0.432650
2006,0803,0.101200
2006,0804,2.933461
2006,0805,1.100936
2006,0806,0.353199
2006,0807,0.117301
2006,0899,0.094721
2006,0901,0.063275
2006,0902,0.549825
2006,0903,0.019991
2006,0904,0.013979
2006,0905,0.432118
2006,0999,0.001350
2006,1001,0.377815
2006,1002,0.210426
2006,1003,0.036633
2006,1099,0.001083
2006,1101,66.596012
2006,1102,0.194127
2006,1201,40.061073
2006,1202,5.207334
2006,1203,220.967975
2006,1204,5.391825
2006,1205,0.089499
2006,1299,0.007976
2006,1301,16.773799
2006,1302,2.072002
2006,1303,0.067262
2006,1399,0.017471
2006,1401,7.235817
2006,1499,0.006222
2006,1501,1.872389
2006,1502,1.618737
2006,1503,0.514747
2006,1504,0.624536
2006,1505,0.962284
2006,1506,0.081159
2006,1599,2.108033
2006,1601,4.832190
2006,1699,2.228134
2006,1801,0.780908
2006,1802,2.413907
2006,1803,4.635559
2006,1804,3.790276
2006,1805,17.603371
2006,1806,1.960762
2006,1807,14.564499
2006,1808,2.429180
2006,1809,0.402612
2006,1810,0.211040
2006,1811,7.236811
2006,1812,12.045369
2006,1813,2.442364
2006,1814,1.391979
2006,1815,1.289632
2006,1816,0.081696
2006,1818,0.100426
2006,1899,1.205572
2006,5001,11.189458
2006,5099,0.010723
2007,0101,514.412627
2007,0102,40.092150
2007,0103,3.949066
2007,0104,0.356599
2007,0105,0.001550
2007,0199,0.001974
2007,0201,38.293321
2007,0202,31.031800
2007,0203,5.056016
2007,0204,3.501139
2007,0205,12.387937
2007,0206,5.650527
2007,0207,2.133943
2007,0208,1.061217
2007,0209,12.993368
2007,0299,0.037565
2007,0301,22.595733
2007,0302,1.922792
2007,0303,0.661455
2007,0304,1.535364
2007,0305,0.554875
2007,0399,0.000712
2007,0401,3.869019
2007,0402,0.090392
2007,0403,0.054918
2007,0404,0.777423
2007,0405,3.408366
2007,0499,0.003934
2007,0501,208.208592
2007,0502,0.402590
2007,0503,1.686426
2007,0504,1.394355
2007,0599,0.003599
2007,0601,15.308843
2007,0602,0.290839
2007,0603,8.134262
2007,0604,0.183941
2007,0699,0.076116
2007,0701,23.618515
2007,0702,0.057511
2007,0801,0.021779
2007,0802,0.541484
2007,0803,0.009627
2007,0804,2.977289
2007,0805,1.278202
2007,0806,0.261001
2007,0807,0.066968
2007,0899,0.084523
2007,0901,0.050980
2007,0902,0.313422
2007,0903,0.014107
2007,0904,0.112857
2007,0905,0.359807
2007,0999,0.018045
2007,1001,0.253290
2007,1002,0.073054
2007,1003,0.008139
2007,1101,66.619202
2007,1102,0.142078
2007,1201,38.212221
2007,1202,5.383095
2007,1203,222.051499
2007,1204,5.584318
2007,1205,0.030341
2007,1299,0.086560
2007,1301,18.974766
2007,1302,1.820137
2007,1303,0.011328
2007,1399,0.012511
2007,1401,8.848327
2007,1499,0.008299
2007,1501,1.817299
2007,1502,2.402810
2007,1503,0.545664
2007,1504,0.640663
2007,1505,1.260495
2007,1506,0.047639
2007,1599,2.700898
2007,1601,4.357005
2007,1699,2.112723
2007,1801,0.989428
2007,1802,2.838874
2007,1803,4.631050
2007,1804,3.775293
2007,1805,16.907168
2007,1806,1.588305
2007,1807,14.310573
2007,1808,2.110541
2007,1809,0.362035
2007,1810,0.158546
2007,1811,7.371593
2007,1812,11.726267
2007,1813,2.686230
2007,1814,1.294400
2007,1815,1.376637
2007,1816,0.128808
2007,1818,0.047897
2007,1899,1.332137
2007,5001,10.448395
2008,0101,516.131983
2008,0102,40.409313
2008,0103,5.265520
2008,0104,0.889234
2008,0105,0.004555
2008,0199,0.006262
2008,0201,34.824349
2008,0202,31.366432
2008,0203,4.023028
2008,0204,3.362552
2008,0205,11.288180
2008,0206,5.508371
2008,0207,2.385311
2008,0208,0.764521
2008,0209,12.541010
2008,0299,0.117607
2008,0301,22.145086
2008,0302,2.134696
2008,0303,0.653109
2008,0304,1.321375
2008,0305,0.746230
2008,0399,0.013690
2008,0401,5.151196
2008,0402,0.080263
2008,0403,0.096889
2008,0404,0.680367
2008,0405,3.756914
2008,0499,0.007478
2008,0501,202.534932
2008,0502,0.618995
2008,0503,1.941824
2008,0504,2.131289
2008,0601,16.209182
2008,0602,0.283538
2008,0603,9.550297
2008,0604,0.216308
2008,0699,0.091955
2008,0701,22.795564
2008,0702,0.102909
2008,0801,0.032281
2008,0802,0.464444
2008,0803,0.056084
2008,0804,2.921435
2008,0805,1.118356
2008,0806,0.216092
2008,0807,0.059145
2008,0899,0.053868
2008,0901,0.061434
2008,0902,0.271657
2008,0903,0.027816
2008,0904,0.049901
2008,0905,0.386434
2008,0999,0.022267
2008,1001,0.129702
2008,1002,0.230666
2008,1003,0.063898
2008,1004,0.001531
2008,1101,66.469309
2008,1102,0.135408
2008,1201,38.174177
2008,1202,4.421509
2008,1203,229.568987
2008,1204,5.107610
2008,1205,0.107564
2008,1299,0.005947
2008,1301,17.688879
2008,1302,2.188733
2008,1303,0.049807
2008,1304,0.001805
2008,1399,0.000481
2008,1401,8.557699
2008,1499,0.006517
2008,1501,2.216405
2008,1502,2.151399
2008,1503,0.715615
2008,1504,0.563644
2008,1505,0.838941
2008,1506,0.198463
2008,1599,2.134143
2008,1601,5.685483
2008,1699,1.996529
2008,1801,0.787228
2008,1802,2.314471
2008,1803,4.928996
2008,1804,3.782973
2008,1805,16.621093
2008,1806,1.926913
2008,1807,14.375436
2008,1808,2.246198
2008,1809,0.411703
2008,1810,0.234001
2008,1811,7.092569
2008,1812,10.736964
2008,1813,2.643126
2008,1814,1.255863
2008,1815,1.072866
2008,1816,0.082458
2008,1818,0.061453
2008,1899,1.286557
2008,5001,10.829924
2008,5099,0.004831
2009,0101,520.340290
2009,0102,40.173545
2009,0103,4.761893
2009,0104,0.663055
2009,0105,0.001035
2009,0201,35.934334
2009,0202,32.343457
2009,0203,4.712849
2009,0204,3.350895
2009,0205,11.877022
2009,0206,5.540123
2009,0207,2.239779
2009,0208,1.066932
2009,0209,12.734072
2009,0299,0.045300
2009,0301,23.005734
2009,0302,2.057150
2009,0303,0.668461
2009,0304,1.161253
2009,0305,0.810451
2009,0399,0.010799
2009,0401,3.974529
2009,0402,0.157973
2009,0403,0.121386
2009,0404,0.553940
2009,0405,3.739020
2009,0499,0.001371
2009,0501,190.571715
2009,0502,0.334521
2009,0503,1.794017
2009,0504,2.575216
2009,0599,0.009089
2009,0601,15.748370
2009,0602,0.453322
2009,0603,9.554277
2009,0604,0.152552
2009,0699,0.202721
2009,0701,22.555453
2009,0702,0.141149
2009,0801,0.025493
2009,0802,0.622406
2009,0803,0.021507
2009,0804,3.263612
2009,0805,0.884395
2009,0806,0.179026
2009,0807,0.114616
2009,0899,0.039805
2009,0901,0.068220
2009,0902,0.283342
2009,0903,0.022552
2009,0904,0.024562
