year,tier3,mean_minutes_per_day,label
2003,050499,0.056547,"Job search and Interviewing, n.e.c."
2003,059999,0.009143,"Work and work-related activities, n.e.c."
2003,060101,16.076673,"Taking class for degree, certification, or licensure"
2003,060102,0.531227,Taking class for personal interest
2003,060103,0.102369,Waiting associated with taking classes
2003,060104,0.001235,Security procedures rel. to taking classes
2003,060199,0.400800,"Taking class, n.e.c."
2003,060201,0.044705,Extracurricular club activities
2003,060202,0.358439,Extracurricular music & performance activities
2003,060203,0.002473,Extracurricular student government activities
2003,060289,0.061661,"Education-related extracurricular activities, n.e.c."
2003,060301,7.427769,"Research/homework for class for degree, certification, or licensure"
2003,060302,0.268211,Research/homework for class for pers. interest
2003,060399,0.351031,Research/homework n.e.c.
2003,060401,0.094035,"Administrative activities: class for degree, certification, or licensure"
2003,060402,0.009776,Administrative activities: class for personal interest
2003,060403,0.001634,Waiting associated w/admin. activities (education)
2003,060499,0.064476,"Administrative for education, n.e.c."
2003,069999,0.176097,"Education, n.e.c."
2003,070101,6.323328,Grocery shopping
2003,070102,0.445407,Purchasing gas
2003,070103,1.090390,Purchasing food (not groceries)
2003,070104,16.045760,"Shopping, except groceries, food and gas"
2003,070105,0.148430,Waiting associated with shopping
2003,070199,0.012243,"Shopping, n.e.c."
2003,070201,0.109268,Comparison shopping
2003,070299,0.002162,"Researching purchases, n.e.c."
2003,079999,0.010833,"Consumer purchases, n.e.c."
2003,080101,0.032982,Using paid childcare services
2003,080102,0.003660,Waiting associated w/purchasing childcare svcs
2003,080201,0.372906,Banking
2003,080202,0.175666,Using other financial services
2003,080203,0.031990,Waiting associated w/banking/financial services
2003,080299,0.014432,"Using financial services and banking, n.e.c."
2003,080301,0.032990,Using legal services
2003,080302,0.000593,Waiting associated with legal services
2003,080401,2.625006,Using health and care services outside the home
2003,080402,0.024443,Using in-home health and care services
2003,080403,0.563588,Waiting associated with medical services
2003,080499,0.016917,"Using medical services, n.e.c."
2003,080501,1.202278,Using personal care services
2003,080502,0.102425,Waiting associated w/personal care services
2003,080599,0.006657,"Using personal care services, n.e.c."
2003,080601,0.301842,Activities rel. to purchasing/selling real estate
2003,080602,0.000954,Waiting associated w/purchasing/selling real estate
2003,080701,0.059819,Using veterinary services
2003,080702,0.028214,Waiting associated with veterinary services
2003,089999,0.043342,"Professional and personal services, n.e.c."
2003,090101,0.036362,Using interior cleaning services
2003,090102,0.000377,Using meal preparation services
2003,090103,0.048727,Using clothing repair and cleaning services
2003,090104,0.013076,Waiting associated with using household services
2003,090199,0.008023,"Using household services, n.e.c."
2003,090201,0.199980,Using home maint/repair/decor/construction svcs
2003,090202,0.386835,Waiting associated w/ home main/repair/decor/constr
2003,090299,0.003753,"Using home maint/repair/decor/constr services, n.e.c."
2003,090301,0.045705,Using pet services
2003,090302,0.000353,Waiting associated with pet services
2003,090401,0.009140,Using lawn and garden services
2003,090501,0.194344,Using vehicle maintenance or repair services
2003,090502,0.292466,Waiting associated with vehicle main. or repair svcs
2003,090599,0.002612,"Using vehicle maint. & repair svcs, n.e.c."
2003,099999,0.007347,"Using household services, n.e.c."
2003,100101,0.026638,Using police and fire services
2003,100102,0.034054,Using social services
2003,100103,0.068296,"Obtaining licenses & paying fines, fees, taxes"
2003,100201,0.119415,Civic obligations & participation
2003,100299,0.001228,"Civic obligations & participation, n.e.c."
2003,100381,0.038076,Waiting associated w/ using government services
2003,100383,0.008011,Waiting associated w/civic obligations & participation
2003,100399,0.000435,"Waiting assoc. w/govt svcs or civic obligations, n.e.c."
2003,110101,64.960345,Eating and drinking
2003,110281,0.240638,Waiting associated w/eating & drinking
2003,110289,0.009441,"Waiting associated with eating & drinking, n.e.c."
2003,119999,0.000381,"Eating and drinking, n.e.c."
2003,120101,40.573896,Socializing and communicating with others
2003,120199,0.003665,"Socializing and communicating, n.e.c."
2003,120201,5.245770,Attending or hosting parties/receptions/ceremonies
2003,120202,0.801624,Attending meetings for personal interest (not volunteering)
2003,120299,0.055685,"Attending/hosting social events, n.e.c."
2003,120301,19.949957,"Relaxing, thinking"
2003,120302,0.424360,Tobacco and drug use
2003,120303,154.686234,Television and movies (not religious)
2003,120304,0.104193,Television (religious)
2003,120305,1.359446,Listening to the radio
2003,120306,2.005499,Listening to/playing music (not radio)
2003,120307,9.774568,Playing games
2003,120308,7.845463,Computer use for leisure (exc. Games)
2003,120309,1.462327,Arts and crafts as a hobby
2003,120310,0.089433,Collecting as a hobby
2003,120311,0.331898,"Hobbies, except arts & crafts and collecting"
2003,120312,21.868351,Reading for personal interest
2003,120313,0.247700,Writing for personal interest
2003,120399,0.254031,"Relaxing and leisure, n.e.c."
2003,120401,0.908827,Attending performing arts
2003,120402,0.413782,Attending museums
2003,120403,2.069672,Attending movies/film
2003,120404,0.845735,Attending gambling establishments
2003,120499,1.614084,"Arts and entertainment, n.e.c."
2003,120501,0.081912,Waiting assoc. w/socializing & communicating
2003,120502,0.018493,Waiting assoc. w/attending/hosting social events
2003,120503,0.014288,Waiting associated with relaxing/leisure
2003,120504,0.121993,Waiting associated with arts & entertainment
2003,120599,0.000582,"Waiting associated with socializing, n.e.c."
2003,129999,0.057963,"Socializing, relaxing, and leisure, n.e.c."
2003,130101,0.314887,Doing aerobics
2003,130102,0.128568,Playing baseball
2003,130103,0.881134,Playing basketball
2003,130104,0.360614,Biking
2003,130105,0.681136,Playing billiards
2003,130106,0.409136,Boating
2003,130107,0.533246,Bowling
2003,130109,0.326663,Dancing
2003,130110,0.223822,Participating in equestrian sports
2003,130112,1.510332,Fishing
2003,130113,0.308745,Playing football
2003,130114,1.321566,Golfing
2003,130115,0.036003,Doing gymnastics
2003,130116,0.203600,Hiking
2003,130117,0.016402,Playing hockey
2003,130118,0.747603,Hunting
2003,130119,0.087499,Participating in martial arts
2003,130120,0.206296,Playing racquet sports
2003,130122,0.066329,Rollerblading
2003,130124,0.599665,Running
2003,130125,0.170105,"Skiing, ice skating, snowboarding"
2003,130126,0.185612,Playing soccer
2003,130127,0.114232,Softball
2003,130128,0.751548,Using cardiovascular equipment
2003,130129,0.330550,Vehicle touring/racing
2003,130130,0.117126,Playing volleyball
2003,130131,2.697270,Walking
2003,130132,1.242865,Participating in water sports
2003,130133,1.072539,Weightlifting/strength training
2003,130134,1.141568,"Working out, unspecified"
2003,130136,0.107250,Doing yoga
2003,130199,0.457970,Playing sports n.e.c.
2003,130202,0.403356,Watching baseball
2003,130203,0.442335,Watching basketball
2003,130205,0.008213,Watching billiards
2003,130206,0.048016,Watching boating
2003,130207,0.058351,Watching bowling
2003,130209,0.001426,Watching dancing
2003,130210,0.038024,Watching equestrian sports
2003,130212,0.003909,Watching fishing
2003,130213,0.404826,Watching football
2003,130214,0.044110,Watching golfing
2003,130215,0.004273,Watching gymnastics
2003,130216,0.086322,Watching hockey
2003,130217,0.004685,Watching martial arts
2003,130218,0.001702,Watching racquet sports
2003,130219,0.010886,Watching rodeo competitions
2003,130220,0.004298,Watching rollerblading
2003,130221,0.009660,Watching rugby
2003,130222,0.027598,Watching running
2003,130223,0.004009,"Watching skiing, ice skating, snowboarding"
2003,130224,0.140627,Watching soccer
2003,130225,0.104007,Watching softball
2003,130226,0.185686,Watching vehicle touring/racing
2003,130227,0.024695,Watching volleyball
2003,130229,0.002517,Watching water sports
2003,130230,0.019686,Watching weightlifting/strength training
2003,130231,0.006885,"Watching people working out, unspecified"
2003,130232,0.018702,Watching wrestling
2003,130299,0.132484,"Attending sporting events, n.e.c."
2003,130301,0.041856,Waiting related to playing sports or exercising
2003,130302,0.028684,Waiting related to attending sporting events
2003,130399,0.000179,"Waiting associated with sports, exercise, & recreation, n.e.c."
2003,130401,0.000097,Security related to playing sports or exercising
2003,130402,0.000274,Security related to attending sporting events
2003,139999,0.020776,"Sports, exercise, & recreation, n.e.c."
2003,140101,6.609933,Attending religious services
2003,140102,1.694218,Participation in religious practices
2003,140103,0.043760,Waiting associated w/religious & spiritual activities
2003,149999,0.065180,"Religious and spiritual activities, n.e.c."
2003,150101,0.571710,Computer use
2003,150102,0.769348,Organizing and preparing
2003,150103,0.358977,Reading
2003,150104,0.292877,Telephone calls (except hotline counseling)
2003,150105,0.064543,Writing
2003,150106,0.184768,Fundraising
2003,150199,0.328869,"Administrative & support activities, n.e.c."
2003,150201,0.558890,"Food preparation, presentation, clean-up"
2003,150202,0.061279,Collecting & delivering clothing & other goods
2003,150203,0.149330,Providing care
2003,150204,1.052796,"Teaching, leading, counseling, mentoring"
2003,150299,0.185692,"Social service & care activities, n.e.c."
2003,150301,0.067736,"Building houses, wildlife sites, & other structures"
2003,150302,0.450129,"Indoor & outdoor maintenance, repair, & clean-up"
2003,150399,0.042905,"Indoor & outdoor maintenance, building & clean-up activities, n.e.c."
2003,150401,0.294966,Performing
2003,150402,0.154773,Serving at volunteer events & cultural activities
2003,150499,0.064602,"Participating in performance & cultural activities, n.e.c."
2003,150501,1.030291,"Attending meetings, conferences, & training"
2003,150599,0.002476,"Attending meetings, conferences, & training, n.e.c."
2003,150601,0.039197,Public health activities
2003,150602,0.072335,Public safety activities
2003,150699,0.010081,"Public health & safety activities, n.e.c."
2003,159989,1.419316,"Volunteer activities, n.e.c."
2003,160101,2.210181,Telephone calls to/from family members
2003,160102,2.497000,"Telephone calls to/from friends, neighbors, or acquaintances"
2003,160103,0.009694,Telephone calls to/from education services providers
2003,160104,0.057767,Telephone calls to/from salespeople
2003,160105,0.167355,Telephone calls to/from professional or personal care svcs providers
2003,160106,0.094128,Telephone calls to/from household services providers
2003,160107,0.004152,Telephone calls to/from paid child or adult care providers
2003,160108,0.028095,Telephone calls to/from government officials
2003,169989,2.204542,"Telephone calls, n.e.c."
2003,180101,0.811586,Travel related to personal care
2003,180199,0.001944,"Travel related to personal care, n.e.c."
2003,180280,2.310942,Travel related to household activities
